Comment,Designator,Footprint,LCSC Part #
1u,C16,C0805K,
2u2,C15,C0805K,
10K,R5 R6 R7,M0805,
10V,Z1,SOT23,
10k,R2 R4,M0805,
20k,R9,M0805,
22k,R3,M0805,
22pF,C10 C11,C0805K,
22u,C3,C0805K,
22u,C12,C3216,
22u,C14,C1206K,
22u,C17,C0805K,
33u,L2,DR74,
47k,R1 R11,M0805,
100k,R8,M0805,
100n,C1 C4 C6 C7,C0805K,
120,RTERM0 RTERM1,M0805,
LMR516XX,IC4,SOT23-6,
MCP2515,IC5,SO-18W,
MF-SMDF050,FUSE,MF-SMDF050,
SN65HVD233,IC2 IC3,SO-08,
SS12,D3,SOD123,
WE-SL2 250uH 1.2A,L1,CHOKE_SMD,
X49SM16MSD2SC,Q1,11.4X4.5,
